Hour,Bus,Voltage_pu,PV_Output_kW
20,646,1.0180126455978349,0.0
20,692,0.9827967981926259,0.0
20,675,0.97627263094456,0.0
20,611,0.9608431147115849,0.0
20,652,0.9753338203125423,0.0
20,670,1.0040248689651332,0.0
20,632,1.0143433303452696,0.0
20,680,0.9827968200975233,0.0
20,684,0.9808734106342215,0.0
21,sourcebus,0.9999735656632669,0.0
21,650,0.9999107903916596,0.0
21,rg60,1.0560331442232938,0.0
21,633,1.0113009394467427,0.0
21,634,0.9871595383753209,0.0
21,671,0.9827968100012455,0.0
21,645,1.0197285925541493,0.0
21,646,1.0180126457312444,0.0
21,692,0.9827968006346985,0.0
21,675,0.9762726334457237,0.0
21,611,0.9608431062144711,0.0
21,652,0.9753338227738252,0.0
21,670,1.0040248707963308,0.0
21,632,1.0143433317913881,0.0
21,680,0.9827968225395959,0.0
21,684,0.9808734131094838,0.0
22,sourcebus,0.9999735656632965,0.0
22,650,0.9999107903915728,0.0
22,rg60,1.0560331442232342,0.0
22,633,1.011300939518581,0.0
22,634,0.9871595384657326,0.0
22,671,0.9827968101133993,0.0
22,645,1.0197285925308255,0.0
22,646,1.018012645707833,0.0
22,692,0.9827968007468522,0.0
22,675,0.9762726335651096,0.0
22,611,0.960843105999541,0.0
22,652,0.9753338228860775,0.0
22,670,1.0040248708797128,0.0
22,632,1.0143433318578576,0.0
22,680,0.9827968226517501,0.0
22,684,0.9808734132223739,0.0
23,sourcebus,0.9999735656632985,0.0
23,650,0.999910790391572,0.0
23,rg60,1.0560331442232356,0.0
23,633,1.0113009395210657,0.0
23,634,0.9871595384689938,0.0
23,671,0.9827968101172725,0.0
23,645,1.0197285925296053,0.0
23,646,1.0180126457066112,0.0
23,692,0.9827968007507255,0.0
23,675,0.9762726335692907,0.0
23,611,0.9608431059943143,0.0
23,652,0.975333822889945,0.0
23,670,1.0040248708825843,0.0
23,632,1.014343331860155,0.0
23,680,0.982796822655623,0.0
23,684,0.9808734132262631,0.0
